,source,smog_index,coleman_liau_index,flesch_reading_ease,gunning_fog,automated_readability_index,linsear_write_formula,dale_chall_readability_score,error,error_binary
11,Newcomers' Relationships_ The Role of Social Network Ties During Socialization _ Academy of Management Journal,15.2,15.38,31.92,11.29,17.3,19.5,6.44,0.0,0.0
12,Participative Decision Making and Employee Performance in Different Cultures_ The Moderating Effects of Allocentrism_Idiocentrism and Efficacy _ Academy of Management Journal,17.2,17.81,15.1,12.02,19.6,23.0,6.92,0.0,0.0
13,Power Dynamics Within Top Management and Their Impacts on CEO Dismissal Followed by Inside Succession _ Academy of Management Journal,14.5,14.74,35.07,10.25,15.6,18.5,6.38,0.0,0.0
14,"Something Old, Something New_ A Longitudinal Study of Search Behavior and New Product Introduction _ Academy of Management Journal",14.4,15.95,36.08,10.6,16.3,15.75,6.77,0.0,0.0
15,The Conditioning Effect of Time on Firm Survival_ An Industry Life Cycle Approach _ Academy of Management Journal,16.6,16.42,22.34,12.01,18.6,19.25,6.52,0.0,0.0
16,The Dialectics of Institutional Development in Emerging and Turbulent Fields_ The History of Pricing Conventions in The On-Line Database Industry _ Academy of Management Journal,16.7,17.0,22.45,11.99,18.8,28.666666666666668,6.56,0.0,0.0
17,The Role of Power and Politics in the Repricing of Executive Options _ Academy of Management Journal,15.0,14.16,40.58,11.51,16.5,15.75,6.66,0.0,0.0
18,The Speed Trap_ Exploring the Relationship Between Decision Making and Temporal Context _ Academy of Management Journal,15.6,14.39,38.55,12.12,17.2,19.25,6.58,0.0,0.0
19,"Time, Teams, and Task Performance_ Changing Effects of Surface- and Deep-Level Diversity on Group Functioning _ Academy of Management Journal",15.2,16.59,26.91,10.37,17.3,14.8,6.47,0.0,0.0
20,Watching The Clock_ Group Pacing Behavior Under Dynamic Deadlines _ Academy of Management Journal,15.9,15.15,37.23,12.95,18.4,17.75,6.87,0.0,0.0
21,Work Context and the Definition of self_ How Organizational Care Influences Organization-Basei Self-Esteem _ Academy of Management Journal,15.3,17.11,19.67,10.73,17.1,19.0,7.0,0.0,0.0
22,A Behavioral Theory of R&D Expenditures and Innovations_ Evidence from Shipbuilding _ Academy of Management Journal,15.3,16.42,34.86,10.7,17.0,19.0,6.6,0.0,0.0
23,A Customer Interaction Approach to Strategy and Production Complexity Alignment in Service Firms _ Academy of Management Journal,15.7,16.59,32.94,11.44,17.9,18.75,6.76,0.0,0.0
24,A Social Capital Model of High-Growth Ventures _ Academy of Management Journal,15.2,15.2,32.12,11.9,17.6,36.0,6.94,0.0,0.0
25,"Advocacy, Performance, and Threshold Influences on Decisions to Terminate New Product Development _ Academy of Management Journal",16.7,16.89,23.46,11.72,18.6,19.75,6.59,0.0,0.0
26,Assessing Creativity in Hollywood Pitch Meetings_ Evidence for a Dual-Process Model of Creativity Judgments _ Academy of Management Journal,16.5,14.45,35.0,13.39,18.9,19.25,6.68,0.0,0.0
27,"Bidding Wars Over R&D-Intensive Firms_ Knowledge, Opportunism, and the Market for Corporate Control _ Academy of Management Journal",14.8,15.72,33.95,11.13,16.9,17.8,6.86,0.0,0.0
28,CEO Stock Options_ The Silent Dimension of Ownership _ Academy of Management Journal,15.8,15.95,35.37,10.25,16.7,15.2,6.43,0.0,0.0
29,"Compensation Policy and Organizational Performance_ The Efficiency, Operational, and Financial Implications of Pay Levels and Pay Structure _ Academy of Management Journal",15.9,16.36,32.63,11.51,18.2,15.4,6.72,0.0,0.0
30,"Cooperation, Competition, and Team Performance_ Toward a Contingency Approach _ Academy of Management Journal",16.7,15.27,25.42,14.04,19.8,15.4,6.75,0.0,0.0
31,Do High Job Demands Increase Intrinsic Motivation or Fatigue or Both_ The Role of Job Control and Job Social Support _ Academy of Management Journal,15.4,14.34,37.03,13.29,18.4,35.0,7.02,0.0,0.0
32,Employee Creativity in Taiwan_ An Application of Role Identity Theory _ Academy of Management Journal,15.9,15.9,25.29,11.52,17.2,14.8,6.93,0.0,0.0
33,Explaining New CEO Origin_ Firm Versus Industry Antecedents _ Academy of Management Journal,16.6,16.08,30.6,12.05,18.5,26.666666666666668,6.61,0.0,0.0
34,Exploring the Agency Consequences of Ownership Dispersion Among The Directors of Private Family Firms _ Academy of Management Journal,16.6,14.63,35.91,13.27,18.8,19.75,6.82,0.0,0.0
35,"Functional Background Identity, Diversity, and Individual Performance in Cross-Functional Teams _ Academy of Management Journal",18.1,18.34,13.48,12.57,20.5,30.333333333333332,6.86,0.0,0.0
36,Giving Money to Get Money_ How CEO Stock Options and CEO Equity Enhance IPO Valuations _ Academy of Management Journal,14.6,14.97,35.88,10.32,15.6,19.5,6.59,0.0,0.0
37,"Governance Through Ownership_ Centuries of Practice, Decades of Research _ Academy of Management Journal",16.2,15.95,33.04,12.09,17.1,15.8,7.12,0.0,0.0
38,"Happy Together_ How Using Nonstandard Workers Affects Exit, Voice, and Loyalty Among Standard Employees _ Academy of Management Journal",15.9,17.11,24.68,11.4,18.6,19.75,6.72,0.0,0.0
39,"Home Country Environments, Corporate Diversification Strategies, and Firm Performance _ Academy of Management Journal",16.3,19.43,17.44,11.02,20.0,20.5,6.63,0.0,0.0
40,How Much Should I Give and How Often_ The Effects of Generosity and Frequency of Favor Exchange on Social Status and Productivity _ Academy of Management Journal,15.6,16.07,24.07,11.45,17.9,19.75,6.69,0.0,0.0
41,Informational Dissimilarity and Organizational Citizenship Behavior_ The Role of Intrateam Interdependence and Team Identification _ Academy of Management Journal,16.4,17.35,15.81,11.77,18.9,21.5,6.79,0.0,0.0
42,Institutional Ownership Differences and International Diversification_ The Effects of Boards of Directors and Technological Opportunity _ Academy of Management Journal,16.0,18.56,18.35,10.11,18.6,13.5,6.34,0.0,0.0
43,"Interpersonal Aggression in Work Groups_ Social Influence, Reciprocal, and Individual Effects _ Academy of Management Journal",17.6,17.76,22.34,13.05,19.9,19.5,7.22,0.0,0.0
44,Managerialist and Human Capital Explanations for Key Executive Pay Premiums_ A Contingency Perspective _ Academy of Management Journal,15.6,15.95,34.76,10.78,16.6,13.666666666666666,6.71,0.0,0.0
45,Managing from the Boundary_ The Effective Leadership of Self-Managing Work Teams _ Academy of Management Journal,16.3,14.45,35.71,12.73,18.6,35.0,6.38,0.0,0.0
46,Media Legitimation Effects in the Market for Initial Public Offerings _ Academy of Management Journal,15.4,16.53,33.65,11.69,17.7,19.75,7.08,0.0,0.0
47,Meta-Analyses of Financial Performance and Equity_ Fusion or Confusion_ _ Academy of Management Journal,15.7,17.93,27.62,10.83,18.0,17.4,6.9,0.0,0.0
48,"Organizational Hiring Patterns, Interfirm Network Ties, and Interorganizational Imitation _ Academy of Management Journal",16.4,16.02,29.79,12.73,18.9,25.0,6.92,0.0,0.0
49,"Ownership Structure, Expropriation, and Performance of Group-Affiliated Companies in Korea _ Academy of Management Journal",16.0,16.53,32.02,11.48,19.1,27.333333333333332,6.56,0.0,0.0
50,Ownership Structures and R&D Investments of U.S. and Japanese Firms_ Agency and Stewardship Perspectives _ Academy of Management Journal,14.6,15.54,37.3,9.88,15.6,15.2,6.62,0.0,0.0
51,Punctuated Equilibrium and Linear Progression_ Toward a New Understanding of Group Development _ Academy of Management Journal,15.9,13.76,34.19,13.84,18.8,20.25,6.79,0.0,0.0
52,Reactions to Perceived Inequity in U.S. and Dutch Interorganizational Relationships _ Academy of Management Journal,17.5,17.58,20.62,13.19,20.7,20.25,6.92,0.0,0.0
53,Relationships among Supervisors' and Subordinates' Procedural Justice Perceptions and Organizational Citizenship Behaviors _ Academy of Management Journal,19.0,18.98,11.75,13.49,21.9,43.5,7.08,0.0,0.0
54,Safeguarding Investments in Asymmetric Interorganizational Relationships_ Theory and Evidence _ Academy of Management Journal,18.8,18.28,10.64,13.82,21.8,17.2,7.02,0.0,0.0
55,Self-Concordance at Work_ Toward Understanding the Motivational Effects of Transformational Leaders _ Academy of Management Journal,16.8,17.11,24.07,11.32,18.7,16.0,6.47,0.0,0.0
56,Share Price Reactions to Work-Family Initiatives_ An Institutional Perspective _ Academy of Management Journal,16.1,16.59,25.08,11.18,17.7,17.4,6.74,0.0,0.0
57,Strategic Satisficing_ A Behavioral-Agency Theory Perspective on Stock Repurchase Program Announcements _ Academy of Management Journal,15.8,16.3,33.44,10.86,17.6,20.25,6.41,0.0,0.0
58,"Subsidiary Staffing in Multinational Enterprises_ Agency, Resources, and Performance _ Academy of Management Journal",15.5,17.23,26.51,10.6,17.6,16.0,6.49,0.0,0.0
59,Team Member Functional Background and Involvement in Management Teams_ Direct Effects and the Moderating Role of Power Centralization _ Academy of Management Journal,17.9,17.58,19.5,12.96,21.0,26.333333333333332,6.63,0.0,0.0
60,The Determinants of Executive Compensation in Family-Controlled Public Corporations _ Academy of Management Journal,16.3,15.61,31.11,12.33,18.2,18.5,6.9,0.0,0.0
61,The Effects of Centrifugal and Centripetal Forces on Product Development Speed and Quality_ How Does Problem Solving Matter_ _ Academy of Management Journal,16.6,18.63,23.46,11.68,20.2,27.0,6.66,0.0,0.0
62,THe Effects of Discontinuous Change on Latent Errors in Organizations_ The Moderating Role of Risk _ Academy of Management Journal,15.3,16.3,26.0,11.93,17.1,18.0,7.24,0.0,0.0
63,The Impact of Community Violence and an Organization's Procedural Justice Climate on Workplace Aggression _ Academy of Management Journal,15.6,16.77,26.91,11.14,17.4,26.0,7.12,0.0,0.0
64,"The Impact Of Expectations On Newcomer Performance In Teams As Mediated By Work Characteristics, Social Exchanges, And Empowerment _ Academy of Management Journal",16.3,17.52,26.0,10.36,18.4,26.666666666666668,6.32,0.0,0.0
65,The Relationship between Overconfidence and the Introduction of Risky Products_ Evidence from a Field Study _ Academy of Management Journal,15.5,16.48,25.8,11.5,17.2,17.5,7.0,0.0,0.0
66,The Role of Human Capital in Postacquisition CEO Departure _ Academy of Management Journal,15.5,14.33,32.33,11.87,16.4,18.25,6.93,0.0,0.0
67,"Transformational Leadership, Conservation, and Creativity_ Evidence From Korea _ Academy of Management Journal",16.7,17.98,18.25,11.14,18.4,46.5,6.85,0.0,0.0
68,Transforming Work-Family Conflict into Commitment in Network Marketing Organizations _ Academy of Management Journal,16.7,15.03,27.15,13.09,19.0,18.5,6.62,0.0,0.0
69,When “The Show Must Go On”_ Surface Acting and Deep Acting as Determinants of Emotional Exhaustion and Peer-Rated Service Delivery _ Academy of Management Journal,14.8,14.85,34.66,10.68,15.9,19.0,6.61,0.0,0.0
70,A Multilevel Investigation of Factors Influencing Employee Service Performance and Customer Outcomes _ Academy of Management Journal,16.8,17.64,23.97,11.64,19.2,21.25,6.64,0.0,0.0
71,Asymmetric Adaptability_ Dynamic Team Structures as One-Way Streets _ Academy of Management Journal,16.6,15.21,29.18,12.63,18.2,20.25,6.63,0.0,0.0
72,Asymmetric Reactions to Work Group Sex Diversity Among Men and Women _ Academy of Management Journal,16.1,15.38,30.91,12.11,18.0,26.0,6.65,0.0,0.0
73,Boundary Conditions of the Galatea Effect_ A Field Experiment and Constructive Replication _ Academy of Management Journal,15.6,16.77,25.9,10.76,17.7,16.4,6.48,0.0,0.0
74,Competition within and Between Networks_ The Contingent Effect of Competitive Embeddedness on Alliance Formation _ Academy of Management Journal,15.9,18.11,23.05,11.52,19.9,17.5,6.41,0.0,0.0
75,Cross-National Differences in Managers' Willingness to Justify Ethically Suspect Behaviors_ A Test of Institutional Anomie Theory _ Academy of Management Journal,17.4,18.04,15.31,12.34,19.6,23.25,7.1,0.0,0.0
76,"Cultural Diversity in Management, Firm Performance, and the Moderating Role of Entrepreneurial Orientation Dimensions _ Academy of Management Journal",16.7,18.27,24.98,11.6,19.5,17.4,6.78,0.0,0.0
77,Divisional Multimarket Contact within and Between Multiunit Organizations _ Academy of Management Journal,16.9,16.95,22.04,12.05,19.1,19.5,6.66,0.0,0.0
78,Does National Context Matter in Ethical Decision Making_ An Empirical Test of Integrative Social Contracts Theory _ Academy of Management Journal,17.6,17.0,21.63,12.91,19.4,21.0,7.06,0.0,0.0
79,Dynamic Inducements in R&D Investment_ Market Signals and Network Locations _ Academy of Management Journal,15.2,15.95,32.73,11.66,17.5,14.6,6.84,0.0,0.0
80,"Earnings Management Following Duality-Creating Successions_ Ethnostatistics, Impression Management, and Agency Theory _ Academy of Management Journal",15.6,15.49,35.07,10.81,15.9,26.666666666666668,6.69,0.0,0.0
81,Effects of Social Capital and Power on Surviving Transformational Change_ The Case of Initial Public Offerings _ Academy of Management Journal,15.3,15.37,32.53,11.19,17.3,24.333333333333332,6.44,0.0,0.0
82,"Employees' Goal Orientations, the Quality of Leader-Member Exchange, and the Outcomes of Job Performance and Job Satisfaction _ Academy of Management Journal",16.9,17.4,24.07,11.39,19.1,20.25,6.46,1.0,1.0
83,"Experiencing Mistreatment at Work_ the Role of Grievance Filing, Nature of Mistreatment, and Employee Withdrawal _ Academy of Management Journal",16.9,16.83,22.65,11.84,18.8,27.333333333333332,6.61,0.0,0.0
84,Fitting in_ Surface- and Deep-Level Cultural Differences and Expatriates’ Adjustment _ Academy of Management Journal,16.1,17.29,25.8,11.0,18.3,14.666666666666666,6.63,0.0,0.0
85,Goal Setting and Goal Orientation_ An Integration of Two Different Yet Related Literatures _ Academy of Management Journal,15.9,15.15,31.82,11.34,17.0,13.333333333333334,6.38,0.0,0.0
86,Goal Setting as a Motivator of Unethical Behavior _ Academy of Management Journal,15.0,14.91,34.15,10.48,16.0,14.4,6.46,0.0,0.0
87,Group Social Capital and Group Effectiveness_ The Role of Informal Socializing Ties _ Academy of Management Journal,15.3,15.08,32.43,11.12,17.1,26.666666666666668,6.4,0.0,0.0
88,How Do They Get There_ An Examination of the Antecedents of Centrality in Team Networks _ Academy of Management Journal,15.8,17.69,18.15,10.79,18.4,21.5,6.69,0.0,0.0
89,"Information Processing, Knowledge Development, and Strategic Supply Chain Performance _ Academy of Management Journal",15.3,16.48,33.44,11.42,17.8,16.75,6.83,0.0,0.0
90,Institutional Entrepreneurship in Emerging Fields_ HIV_AIDS Treatment Advocacy in Canada _ Academy of Management Journal,17.3,17.18,19.4,13.12,20.5,78.0,6.69,0.0,0.0
91,International Diversification and Firm Performance_ The S-curve Hypothesis _ Academy of Management Journal,15.2,17.06,26.61,10.51,17.8,16.4,6.56,0.0,0.0
92,Is High Employee Turnover Really Harmful_ An Empirical Test Using Company Records _ Academy of Management Journal,14.6,14.04,40.48,11.91,16.1,15.4,6.85,0.0,0.0
93,"Knowledge Transfer Through Inheritance_ Spin-Out Generation, Development, and Survival _ Academy of Management Journal",14.7,16.82,27.62,9.94,16.9,26.333333333333332,6.32,0.0,0.0
94,Multinational Companies and the Natural Environment_ Determinants of Global Environmental Policy _ Academy of Management Journal,17.4,19.49,15.2,11.63,20.6,15.166666666666666,6.59,0.0,0.0
95,Network Memory_ The Influence of Past and Current Networks on Performance _ Academy of Management Journal,14.6,14.97,41.5,11.25,16.7,16.0,6.69,0.0,0.0
96,Network Structure and Innovation Ambiguity Effects on Diffusion in Dynamic Organizational Fields _ Academy of Management Journal,16.7,19.2,17.23,11.64,19.6,18.4,7.02,0.0,0.0
97,Neutralizing Job Stressors_ Political Skill as an Antidote to the Dysfunctional Consequences of Role Conflict _ Academy of Management Journal,15.6,16.3,32.83,11.87,18.2,18.5,7.0,0.0,0.0
98,Organizational Restructuring and Middle Manager Sensemaking _ Academy of Management Journal,15.3,15.61,31.21,11.32,17.6,20.75,6.24,0.0,0.0
99,"Partner Substitutability, Alliance Network Structure, and Firm Profitability in the Telecommunications Industry _ Academy of Management Journal",15.8,17.06,22.95,11.98,19.0,18.5,6.73,0.0,0.0
100,Preferential Linkage and Network Evolution_ A Conceptual Model and Empirical Test in the U.S. Video Game Sector _ Academy of Management Journal,15.3,15.61,32.22,11.66,17.6,26.0,6.7,0.0,0.0
101,Product-Line Management in Professional Organizations_ an Empirical Test of Competing Theoretical Perspectives _ Academy of Management Journal,15.8,17.35,26.2,10.85,17.8,17.0,6.61,0.0,0.0
102,Profiles in Quitting_ Integrating Process and Content Turnover Theory _ Academy of Management Journal,15.2,15.84,33.65,11.09,17.0,17.5,6.54,0.0,0.0
103,Service Climate Effects on Customer Attitudes_ An Examination of Boundary Conditions _ Academy of Management Journal,16.8,17.06,19.5,13.27,20.6,22.0,6.82,0.0,0.0
104,Service Provider Hostility and Service Quality _ Academy of Management Journal,15.8,16.65,25.49,11.04,17.5,16.0,6.65,0.0,0.0
105,Social Capital and Knowledge Creation_ Diminishing Returns of the Number and Strength of Exchange Relationships _ Academy of Management Journal,15.6,17.29,24.07,11.7,18.7,12.666666666666666,6.78,0.0,0.0
106,Strategic Decision Comprehensiveness and New Product Development Outcomes in New Technology Ventures _ Academy of Management Journal,17.1,18.68,15.1,12.01,20.2,17.2,6.75,0.0,0.0
107,"Taking Empowerment to the Next Level_ A Multiple-Level Model of Empowerment, Performance, and Satisfaction _ Academy of Management Journal",16.2,17.29,17.23,10.32,17.9,21.0,6.22,0.0,0.0
108,Taking Stock of Networks and Organizations_ A Multilevel Perspective _ Academy of Management Journal,13.8,15.66,30.06,8.74,15.1,25.333333333333332,6.09,0.0,0.0
109,"Talking Trash_ Legitimacy, Impression Management, and Unsystematic Risk in the Context of the Natural Environment _ Academy of Management Journal",16.6,17.11,24.58,11.91,18.3,20.0,7.01,0.0,0.0
110,"The Antecedents, Consequences, and Mediating Role of Organizational Ambidexterity _ Academy of Management Journal",16.0,16.53,23.97,11.89,18.2,21.75,6.84,0.0,0.0
111,The Effects of Customer Personality Traits on the Display of Positive Emotions _ Academy of Management Journal,14.9,16.07,33.75,11.27,17.1,13.6,6.81,0.0,0.0
112,"The Effects of Job Embeddedness on Organizational Citizenship, Job Performance, Volitional Absences, and Voluntary Turnover _ Academy of Management Journal",16.7,16.94,23.87,11.48,18.9,18.2,6.57,0.0,0.0
113,"The Effects of Physical and Social Context on Evaluations of Captive, Intensive Service Relationships _ Academy of Management Journal",16.3,16.53,24.17,11.87,18.2,19.0,6.92,0.0,0.0
114,"The Genesis of Top Management Team Diversity_ Selective Turnover Among Top Management Teams in Dutch Newspaper Publishing, 1970–94 _ Academy of Management Journal",15.8,16.53,24.48,10.99,18.5,15.8,6.43,0.0,0.0
115,The Impact of Personality on Psychological Contracts _ Academy of Management Journal,15.9,16.59,25.19,10.86,17.9,21.75,6.39,0.0,0.0
116,The Impact of Team Empowerment on Virtual Team Performance_ The Moderating Role of Face-to-Face Interaction _ Academy of Management Journal,15.0,15.78,35.78,10.08,16.2,28.0,6.33,0.0,0.0
117,"The Pace, Sequence, and Linearity of Radical Change _ Academy of Management Journal",16.4,17.64,30.5,12.12,19.9,19.25,6.51,0.0,0.0
118,The Role of Relational Trust in Bank–Small Firm Relationships _ Academy of Management Journal,16.5,16.66,30.5,12.82,19.2,25.666666666666668,7.11,0.0,0.0
119,Tie and Network Correlates of Individual Performance in Knowledge-Intensive Work _ Academy of Management Journal,15.2,16.88,25.8,11.05,17.8,20.5,6.8,0.0,0.0
120,Too Much of a Good Thing_ Negative Effects of High Trust and Individual Autonomy in Self-Managing Teams _ Academy of Management Journal,16.2,14.8,30.3,12.17,17.8,16.2,6.57,0.0,0.0
121,Tournament Rituals in the Evolution of Fields_ the Case of the Grammy Awards _ Academy of Management Journal,17.1,14.97,26.34,14.18,19.4,41.5,7.19,0.0,0.0
122,"Two's Company, Three's a Crowd_ Triads in Cooperative-Competitive Networks _ Academy of Management Journal",16.5,15.73,28.88,13.21,18.8,24.666666666666668,7.0,0.0,0.0
123,Variable Organizational Risk Preferences_ Tests of the March-Shapira Model _ Academy of Management Journal,15.4,17.17,35.17,10.64,18.1,12.166666666666666,6.69,0.0,0.0
124,When the Known Devil is better Than an Unknown God_ An Empirical Study of the Antecedents and Consequences of Relay CEO Successions _ Academy of Management Journal,16.8,17.06,23.46,11.23,18.9,27.0,6.3,0.0,0.0
125,"You Paid for the Skills, Now Keep Them_ Tuition Reimbursement and Voluntary Turnover _ Academy of Management Journal",15.9,15.9,32.43,11.05,17.7,20.25,6.31,0.0,0.0
126,A Longitudinal Examination of the Influence of Mentoring on Organizational Commitment and Turnover _ Academy of Management Journal,15.7,17.11,27.42,10.2,17.2,24.0,6.53,0.0,0.0
127,"A Relational Perspective on Turnover_ Examining Structural, Attitudinal, and Behavioral Predictors _ Academy of Management Journal",17.2,17.53,13.58,12.91,19.7,15.2,7.14,0.0,0.0
128,Adoption of Workplace Substance Abuse Prevention Programs_ Strategic Choice and Institutional Perspectives _ Academy of Management Journal,14.7,15.26,40.28,11.25,17.1,14.6,6.4,0.0,0.0
129,Agglomeration Efects and Strategic Orientations_ Evidence From The U.S. Lodging Industry _ Academy of Management Journal,16.8,17.18,27.86,12.88,20.8,16.0,6.63,0.0,0.0
130,Alternative Conceptualizations of the Relationship Between Voluntary Turnover and Organizational Performance _ Academy of Management Journal,16.8,17.41,30.91,11.92,19.7,21.75,6.52,0.0,0.0
131,An Integrative View of International Experience _ Academy of Management Journal,17.2,17.58,14.8,11.52,19.3,23.0,6.48,0.0,0.0
132,"Being Good or Being Known_ An Empirical Examination of the Dimensions, Antecedents, and Consequences of Organizational Reputation _ Academy of Management Journal",16.0,17.06,25.08,11.18,18.0,20.0,6.68,0.0,0.0
133,"Beyond the Individual Victim_ Linking Sexual Harassment, Team Processes, and Team Performance _ Academy of Management Journal",17.7,16.66,22.55,12.14,18.8,21.0,6.72,0.0,0.0
134,Can Businesses Effectively Regulate Employee Conduct_ The Antecedents of Rule Following in Work Settings _ Academy of Management Journal,17.3,16.37,20.21,12.7,20.0,21.25,6.59,0.0,0.0
135,CEO Tenure And Company Invention Under Differing Levels of Technological Dynamism _ Academy of Management Journal,15.6,17.29,25.29,11.29,18.9,20.5,6.81,0.0,0.0
136,Community Matters_ Realistic Group Conflict Theory and the Impact of Diversity _ Academy of Management Journal,15.3,16.13,27.01,10.62,16.6,16.4,6.71,0.0,0.0
137,Creativity and Standardization_ Complementary or Conflicting Drivers of Team Effectiveness_ _ Academy of Management Journal,15.5,16.24,25.39,11.52,17.4,20.0,6.95,0.0,0.0
138,Diversity and Homophily at Work_ Supportive Relations Among White and African-American Peers _ Academy of Management Journal,18.8,16.78,13.51,15.2,23.1,18.75,6.82,0.0,0.0
139,"Existing Knowledge, Knowledge Creation Capability, and the Rate of New Product Introduction in High-Technology Firms _ Academy of Management Journal",15.4,16.19,31.92,11.83,17.9,24.0,6.71,0.0,0.0
140,Explaining the Clustering of International Expansion Moves_ A Critical Test in the U.S. Telecommunications Industry _ Academy of Management Journal,16.1,16.88,24.17,11.43,18.4,14.8,6.55,0.0,0.0
141,"Extending the Chain of Relationships Among Organizational Justice, Social Exchange, and Employee Reactions_ The Role of Contract Violations _ Academy of Management Journal",15.7,15.84,24.78,11.07,17.4,41.5,6.53,0.0,0.0
142,"Factional Groups_ A New Vantage on Demographic Faultlines, Conflict, and Disintegration in Work Teams _ Academy of Management Journal",15.5,15.9,32.73,11.3,17.8,11.833333333333334,6.57,0.0,0.0
143,How Important are Shared Perceptions of Procedural Justice in Cooperative Alliances_ _ Academy of Management Journal,17.9,17.7,9.52,14.17,22.1,14.4,7.11,0.0,0.0
144,Human Resource Management and Labor Productivity_ Does Industry Matter_ _ Academy of Management Journal,15.4,17.11,26.71,10.93,17.7,20.5,6.8,0.0,0.0
145,Identity Confirmation Networks and Cooperation in Work Groups _ Academy of Management Journal,17.3,17.64,22.34,11.8,19.8,18.2,6.41,0.0,0.0
146,Industry Change Through Vertical Disintegration_ How and Why Markets Emerged in Mortgage Banking _ Academy of Management Journal,16.2,15.21,28.98,12.25,18.4,20.5,6.41,0.0,0.0
147,Input-Based and Time-Based Models of International Adjustment_ Meta-Analytic Evidence and Theoretical Extensions _ Academy of Management Journal,16.4,18.91,17.74,10.85,19.6,21.75,6.64,0.0,0.0
148,Interactions Within Groups and Subgroups_ The Effects of Demographic Faultlines _ Academy of Management Journal,16.7,17.41,19.81,13.36,21.4,19.25,6.94,0.0,0.0
149,Interfirm Competition for Human Resources_ Evidence From the Software Industry _ Academy of Management Journal,16.1,15.5,31.31,11.65,17.7,18.75,6.47,0.0,0.0
150,"Knowledge Sharing in Organizations_ Multiple Networks, Multiple Phases _ Academy of Management Journal",16.2,16.31,33.78,13.68,21.1,13.8,6.59,0.0,0.0
151,Leading from Within_ The Effects of Emotion Recognition and Personality on Transformational Leadership Behavior _ Academy of Management Journal,16.0,18.04,19.87,10.06,17.7,19.4,6.58,0.0,0.0
152,Learning and Performance in Multidisciplinary Teams_ The Importance of Collective Team Identification _ Academy of Management Journal,17.6,16.83,20.52,12.82,19.9,17.4,6.71,0.0,0.0
153,Location-Level Links Between Diversity and Innovative Climate Depend on National Power Distance _ Academy of Management Journal,16.7,17.06,23.97,11.9,18.8,27.666666666666668,6.86,0.0,0.0
154,Managing Potential and Realized Absorptive Capacity_ How do Organizational Antecedents Matter_ _ Academy of Management Journal,16.3,19.08,19.97,9.9,18.8,24.75,6.48,0.0,0.0
155,Modeling the Multilevel Determinants of Top Management Team Behavioral Integration _ Academy of Management Journal,15.4,15.55,34.26,11.02,16.9,24.666666666666668,6.72,0.0,0.0
156,"Motivation and Opportunity_ The Role of Remote Work, Demographic Dissimilarity, and Social Network Centrality in Impression Management _ Academy of Management Journal",18.1,19.27,5.32,12.03,21.5,19.4,6.6,0.0,0.0
157,Network Effects Revisited_ The Role of Strong Ties in Technology Selection _ Academy of Management Journal,18.9,15.79,17.51,17.49,24.3,23.666666666666668,7.6,0.0,0.0
158,Newcomer Adaptation in Teams_ Multilevel Antecedents and Outcomes _ Academy of Management Journal,17.5,17.82,23.16,11.6,19.6,22.5,6.45,0.0,0.0
159,Organizational Design and Environmental Performance_ Clues From the Electronics Industry _ Academy of Management Journal,17.6,16.66,19.4,13.8,20.2,16.6,7.26,0.0,0.0
