,source,smog_index,coleman_liau_index,flesch_reading_ease,gunning_fog,automated_readability_index,linsear_write_formula,dale_chall_readability_score,lexicon_count,sentence_count
19,"Time, Teams, and Task Performance_ Changing Effects of Surface- and Deep-Level Diversity on Group Functioning _ Academy of Management Journal",18.5,16.26,23.8,15.2,21.3,14.8,7.24,6939,229
20,Watching The Clock_ Group Pacing Behavior Under Dynamic Deadlines _ Academy of Management Journal,17.1,14.23,31.45,15.39,19.8,17.5,7.22,5045,162
21,Work Context and the Definition of self_ How Organizational Care Influences Organization-Basei Self-Esteem _ Academy of Management Journal,19.4,18.52,7.39,16.07,22.8,19.0,7.87,4865,163
22,A Behavioral Theory of R&D Expenditures and Innovations_ Evidence from Shipbuilding _ Academy of Management Journal,17.5,15.09,26.64,13.94,19.0,15.4,6.91,7546,274
23,A Customer Interaction Approach to Strategy and Production Complexity Alignment in Service Firms _ Academy of Management Journal,16.6,16.13,29.79,12.56,18.2,18.75,6.89,5147,211
24,A Social Capital Model of High-Growth Ventures _ Academy of Management Journal,18.2,14.75,26.88,17.44,22.7,36.0,7.72,4349,122
25,"Advocacy, Performance, and Threshold Influences on Decisions to Terminate New Product Development _ Academy of Management Journal",17.7,16.19,28.67,12.97,18.9,16.0,6.75,7215,283
26,Assessing Creativity in Hollywood Pitch Meetings_ Evidence for a Dual-Process Model of Creativity Judgments _ Academy of Management Journal,17.5,14.98,31.65,14.87,20.4,19.5,6.97,10245,332
27,"Bidding Wars Over R&D-Intensive Firms_ Knowledge, Opportunism, and the Market for Corporate Control _ Academy of Management Journal",16.3,14.97,35.91,13.72,18.6,17.8,7.24,5641,211
28,CEO Stock Options_ The Silent Dimension of Ownership _ Academy of Management Journal,18.0,15.32,28.77,12.84,18.2,15.4,6.77,4898,193
29,"Compensation Policy and Organizational Performance_ The Efficiency, Operational, and Financial Implications of Pay Levels and Pay Structure _ Academy of Management Journal",17.9,15.26,25.83,14.58,19.6,13.833333333333334,7.26,5038,178
30,"Cooperation, Competition, and Team Performance_ Toward a Contingency Approach _ Academy of Management Journal",17.7,14.69,28.61,16.19,21.6,15.4,7.05,10278,303
31,Do High Job Demands Increase Intrinsic Motivation or Fatigue or Both_ The Role of Job Control and Job Social Support _ Academy of Management Journal,17.1,15.1,24.21,15.5,20.1,35.0,7.5,4121,138
32,Employee Creativity in Taiwan_ An Application of Role Identity Theory _ Academy of Management Journal,18.5,16.26,16.86,15.22,20.4,11.833333333333334,7.56,5768,200
33,Explaining New CEO Origin_ Firm Versus Industry Antecedents _ Academy of Management Journal,18.4,15.56,24.0,14.73,20.4,20.0,6.98,6229,207
34,Exploring the Agency Consequences of Ownership Dispersion Among The Directors of Private Family Firms _ Academy of Management Journal,19.9,14.23,21.2,19.26,24.7,19.75,7.65,8240,200
35,"Functional Background Identity, Diversity, and Individual Performance in Cross-Functional Teams _ Academy of Management Journal",20.4,17.24,5.56,15.7,22.6,30.0,7.22,5564,176
36,Giving Money to Get Money_ How CEO Stock Options and CEO Equity Enhance IPO Valuations _ Academy of Management Journal,17.0,14.51,27.86,13.98,17.9,19.5,7.26,4660,177
37,"Governance Through Ownership_ Centuries of Practice, Decades of Research _ Academy of Management Journal",18.2,16.37,26.54,14.93,20.0,15.8,7.53,4409,160
38,"Happy Together_ How Using Nonstandard Workers Affects Exit, Voice, and Loyalty Among Standard Employees _ Academy of Management Journal",18.1,16.72,25.32,14.54,20.7,19.75,7.15,4864,169
39,"Home Country Environments, Corporate Diversification Strategies, and Firm Performance _ Academy of Management Journal",18.3,18.45,11.55,13.47,20.9,20.25,7.03,8133,316
40,How Much Should I Give and How Often_ The Effects of Generosity and Frequency of Favor Exchange on Social Status and Productivity _ Academy of Management Journal,17.9,15.85,24.31,14.73,20.5,19.75,7.07,6814,229
41,Informational Dissimilarity and Organizational Citizenship Behavior_ The Role of Intrateam Interdependence and Team Identification _ Academy of Management Journal,19.2,17.59,6.78,15.67,22.2,21.5,7.38,5979,197
42,Institutional Ownership Differences and International Diversification_ The Effects of Boards of Directors and Technological Opportunity _ Academy of Management Journal,19.0,18.92,10.03,13.73,21.9,13.5,6.92,7535,277
43,"Interpersonal Aggression in Work Groups_ Social Influence, Reciprocal, and Individual Effects _ Academy of Management Journal",20.2,17.36,13.51,16.72,22.9,19.5,7.76,5004,156
44,Managerialist and Human Capital Explanations for Key Executive Pay Premiums_ A Contingency Perspective _ Academy of Management Journal,17.7,15.67,28.37,13.53,18.7,13.333333333333334,7.14,5218,202
45,Managing from the Boundary_ The Effective Leadership of Self-Managing Work Teams _ Academy of Management Journal,17.8,14.86,31.25,14.7,20.5,34.5,6.71,11623,371
46,Media Legitimation Effects in the Market for Initial Public Offerings _ Academy of Management Journal,18.4,15.56,22.58,16.17,21.1,19.75,7.65,5867,186
47,Meta-Analyses of Financial Performance and Equity_ Fusion or Confusion_ _ Academy of Management Journal,18.4,17.0,21.63,13.6,18.9,17.4,7.5,4605,191
48,"Organizational Hiring Patterns, Interfirm Network Ties, and Interorganizational Imitation _ Academy of Management Journal",18.6,15.56,21.26,16.24,21.7,25.0,7.4,5049,154
49,"Ownership Structure, Expropriation, and Performance of Group-Affiliated Companies in Korea _ Academy of Management Journal",15.6,15.55,34.46,10.7,16.1,27.0,6.59,6687,337
50,Ownership Structures and R&D Investments of U.S. and Japanese Firms_ Agency and Stewardship Perspectives _ Academy of Management Journal,17.1,15.55,29.69,13.28,18.1,15.0,7.2,6306,257
51,Punctuated Equilibrium and Linear Progression_ Toward a New Understanding of Group Development _ Academy of Management Journal,16.9,14.46,31.35,15.22,20.1,20.0,7.08,6616,212
52,Reactions to Perceived Inequity in U.S. and Dutch Interorganizational Relationships _ Academy of Management Journal,18.6,16.95,17.57,14.45,20.9,20.0,7.09,6031,215
53,Relationships among Supervisors' and Subordinates' Procedural Justice Perceptions and Organizational Citizenship Behaviors _ Academy of Management Journal,21.9,18.34,1.6,17.6,25.6,45.0,7.6,3904,110
54,Safeguarding Investments in Asymmetric Interorganizational Relationships_ Theory and Evidence _ Academy of Management Journal,20.4,17.65,14.02,15.89,22.8,21.75,7.31,7500,237
55,Self-Concordance at Work_ Toward Understanding the Motivational Effects of Transformational Leaders _ Academy of Management Journal,17.9,16.77,20.42,12.84,19.5,16.0,6.71,8336,330
56,Share Price Reactions to Work-Family Initiatives_ An Institutional Perspective _ Academy of Management Journal,17.1,16.25,22.24,12.28,18.1,17.4,6.87,4544,193
57,Strategic Satisficing_ A Behavioral-Agency Theory Perspective on Stock Repurchase Program Announcements _ Academy of Management Journal,17.7,16.25,27.45,13.38,19.5,20.0,6.77,10166,381
58,"Subsidiary Staffing in Multinational Enterprises_ Agency, Resources, and Performance _ Academy of Management Journal",16.6,16.13,30.5,12.39,18.0,16.0,6.75,5547,234
59,Team Member Functional Background and Involvement in Management Teams_ Direct Effects and the Moderating Role of Power Centralization _ Academy of Management Journal,21.2,17.01,6.71,18.02,25.9,26.0,7.24,8106,209
60,The Determinants of Executive Compensation in Family-Controlled Public Corporations _ Academy of Management Journal,18.3,14.63,22.99,15.8,20.3,18.75,7.48,6043,194
61,The Effects of Centrifugal and Centripetal Forces on Product Development Speed and Quality_ How Does Problem Solving Matter_ _ Academy of Management Journal,17.1,17.0,22.04,12.5,18.7,25.333333333333332,6.85,5746,242
62,THe Effects of Discontinuous Change on Latent Errors in Organizations_ The Moderating Role of Risk _ Academy of Management Journal,16.6,15.79,30.09,13.77,18.0,18.75,7.47,4959,206
63,The Impact of Community Violence and an Organization's Procedural Justice Climate on Workplace Aggression _ Academy of Management Journal,19.7,17.76,14.12,16.64,23.0,25.666666666666668,7.99,4033,128
64,"The Impact Of Expectations On Newcomer Performance In Teams As Mediated By Work Characteristics, Social Exchanges, And Empowerment _ Academy of Management Journal",19.8,17.65,14.83,15.08,22.7,20.0,7.07,6869,223
65,The Relationship between Overconfidence and the Introduction of Risky Products_ Evidence from a Field Study _ Academy of Management Journal,17.5,16.25,27.05,14.39,19.7,17.75,7.42,5536,204
66,The Role of Human Capital in Postacquisition CEO Departure _ Academy of Management Journal,16.3,13.35,37.64,13.15,16.3,18.25,7.08,4844,194
67,"Transformational Leadership, Conservation, and Creativity_ Evidence From Korea _ Academy of Management Journal",19.9,17.99,9.82,14.82,21.5,46.0,7.43,4855,177
68,Transforming Work-Family Conflict into Commitment in Network Marketing Organizations _ Academy of Management Journal,17.4,14.81,32.16,14.44,20.0,24.333333333333332,6.79,14878,489
69,When “The Show Must Go On”_ Surface Acting and Deep Acting as Determinants of Emotional Exhaustion and Peer-Rated Service Delivery _ Academy of Management Journal,16.5,14.45,37.03,12.99,17.6,15.0,6.89,5178,202
70,A Multilevel Investigation of Factors Influencing Employee Service Performance and Customer Outcomes _ Academy of Management Journal,16.5,17.11,24.88,11.33,18.0,21.0,6.66,10283,491
71,Asymmetric Adaptability_ Dynamic Team Structures as One-Way Streets _ Academy of Management Journal,19.1,14.57,26.48,17.07,22.5,20.0,7.18,8776,244
72,Asymmetric Reactions to Work Group Sex Diversity Among Men and Women _ Academy of Management Journal,15.6,14.91,32.94,11.51,16.4,25.666666666666668,6.69,8441,396
73,Boundary Conditions of the Galatea Effect_ A Field Experiment and Constructive Replication _ Academy of Management Journal,17.3,16.25,29.08,13.09,18.9,16.4,6.89,7135,284
74,Competition within and Between Networks_ The Contingent Effect of Competitive Embeddedness on Alliance Formation _ Academy of Management Journal,17.1,16.71,26.85,13.4,20.2,17.5,6.65,10706,392
75,Cross-National Differences in Managers' Willingness to Justify Ethically Suspect Behaviors_ A Test of Institutional Anomie Theory _ Academy of Management Journal,21.0,18.0,3.73,17.23,24.1,17.8,7.8,5337,160
76,"Cultural Diversity in Management, Firm Performance, and the Moderating Role of Entrepreneurial Orientation Dimensions _ Academy of Management Journal",16.4,17.06,26.0,11.28,17.3,17.4,6.82,6244,316
77,Divisional Multimarket Contact within and Between Multiunit Organizations _ Academy of Management Journal,16.8,15.96,22.34,11.98,17.8,19.5,6.7,7449,318
78,Does National Context Matter in Ethical Decision Making_ An Empirical Test of Integrative Social Contracts Theory _ Academy of Management Journal,19.1,16.14,16.96,14.87,20.1,21.0,7.33,5000,174
79,Dynamic Inducements in R&D Investment_ Market Signals and Network Locations _ Academy of Management Journal,15.9,15.21,37.64,13.05,17.9,14.6,6.96,5431,217
80,"Earnings Management Following Duality-Creating Successions_ Ethnostatistics, Impression Management, and Agency Theory _ Academy of Management Journal",15.4,14.74,35.27,10.75,14.9,20.0,6.71,5463,287
81,Effects of Social Capital and Power on Surviving Transformational Change_ The Case of Initial Public Offerings _ Academy of Management Journal,18.6,14.81,19.54,16.53,21.9,24.666666666666668,7.19,9974,289
82,"Employees' Goal Orientations, the Quality of Leader-Member Exchange, and the Outcomes of Job Performance and Job Satisfaction _ Academy of Management Journal",20.3,18.29,6.78,15.14,22.9,20.25,7.02,7510,247
83,"Experiencing Mistreatment at Work_ the Role of Grievance Filing, Nature of Mistreatment, and Employee Withdrawal _ Academy of Management Journal",16.4,16.3,24.68,11.16,17.2,27.333333333333332,6.61,6577,312
84,Fitting in_ Surface- and Deep-Level Cultural Differences and Expatriates’ Adjustment _ Academy of Management Journal,18.6,16.83,17.47,14.45,20.9,14.666666666666666,7.19,5649,200
85,Goal Setting and Goal Orientation_ An Integration of Two Different Yet Related Literatures _ Academy of Management Journal,15.6,14.56,33.34,10.82,15.8,13.333333333333334,6.36,8143,389
86,Goal Setting as a Motivator of Unethical Behavior _ Academy of Management Journal,16.9,14.57,35.61,13.27,18.4,14.4,6.75,5265,195
87,Group Social Capital and Group Effectiveness_ The Role of Informal Socializing Ties _ Academy of Management Journal,18.7,15.44,18.52,16.77,22.9,26.333333333333332,7.12,8204,231
88,How Do They Get There_ An Examination of the Antecedents of Centrality in Team Networks _ Academy of Management Journal,17.2,16.77,14.09,12.32,18.4,21.0,6.87,4846,209
89,"Information Processing, Knowledge Development, and Strategic Supply Chain Performance _ Academy of Management Journal",14.9,15.43,34.76,11.0,15.9,16.5,6.9,6242,320
90,Institutional Entrepreneurship in Emerging Fields_ HIV_AIDS Treatment Advocacy in Canada _ Academy of Management Journal,19.6,16.72,18.52,17.07,24.0,77.0,7.31,10736,302
91,International Diversification and Firm Performance_ The S-curve Hypothesis _ Academy of Management Journal,18.6,16.84,15.85,15.09,21.2,16.6,7.29,5389,181
92,Is High Employee Turnover Really Harmful_ An Empirical Test Using Company Records _ Academy of Management Journal,14.5,13.11,40.58,11.9,15.0,15.4,6.87,6713,304
93,"Knowledge Transfer Through Inheritance_ Spin-Out Generation, Development, and Survival _ Academy of Management Journal",18.1,16.55,24.11,15.04,21.2,26.333333333333332,7.07,10219,341
94,Multinational Companies and the Natural Environment_ Determinants of Global Environmental Policy _ Academy of Management Journal,20.5,19.74,5.26,15.68,24.6,15.0,7.11,6644,208
95,Network Memory_ The Influence of Past and Current Networks on Performance _ Academy of Management Journal,16.1,14.17,33.99,14.34,18.5,16.0,7.07,7005,245
96,Network Structure and Innovation Ambiguity Effects on Diffusion in Dynamic Organizational Fields _ Academy of Management Journal,18.0,18.57,13.68,13.12,19.8,18.4,7.23,5002,212
97,Neutralizing Job Stressors_ Political Skill as an Antidote to the Dysfunctional Consequences of Role Conflict _ Academy of Management Journal,15.2,14.91,34.05,11.59,15.8,18.75,7.05,6134,304
98,Organizational Restructuring and Middle Manager Sensemaking _ Academy of Management Journal,15.9,14.68,36.52,12.64,17.9,20.5,6.44,12838,491
99,"Partner Substitutability, Alliance Network Structure, and Firm Profitability in the Telecommunications Industry _ Academy of Management Journal",17.6,16.08,23.09,15.49,21.3,24.666666666666668,7.24,8245,266
100,Preferential Linkage and Network Evolution_ A Conceptual Model and Empirical Test in the U.S. Video Game Sector _ Academy of Management Journal,16.1,14.57,27.86,13.42,18.0,25.0,6.97,7944,302
101,Product-Line Management in Professional Organizations_ an Empirical Test of Competing Theoretical Perspectives _ Academy of Management Journal,19.1,17.65,16.46,14.89,21.7,17.0,7.19,5581,191
102,Profiles in Quitting_ Integrating Process and Content Turnover Theory _ Academy of Management Journal,16.7,15.5,28.57,13.38,18.4,12.0,6.95,7941,310
103,Service Climate Effects on Customer Attitudes_ An Examination of Boundary Conditions _ Academy of Management Journal,16.5,16.77,21.23,12.71,19.2,21.666666666666668,6.82,7168,292
104,Service Provider Hostility and Service Quality _ Academy of Management Journal,17.8,16.48,27.15,13.68,19.9,13.333333333333334,6.96,5110,189
105,Social Capital and Knowledge Creation_ Diminishing Returns of the Number and Strength of Exchange Relationships _ Academy of Management Journal,17.0,15.9,26.85,13.94,19.5,12.5,7.08,5399,198
106,Strategic Decision Comprehensiveness and New Product Development Outcomes in New Technology Ventures _ Academy of Management Journal,19.0,17.93,8.71,14.72,21.7,17.2,7.19,6891,242
107,"Taking Empowerment to the Next Level_ A Multiple-Level Model of Empowerment, Performance, and Satisfaction _ Academy of Management Journal",19.2,18.05,8.4,14.03,21.9,21.0,6.77,8935,310
108,Taking Stock of Networks and Organizations_ A Multilevel Perspective _ Academy of Management Journal,17.4,16.42,26.03,14.44,20.5,25.666666666666668,7.18,10226,364
109,"Talking Trash_ Legitimacy, Impression Management, and Unsystematic Risk in the Context of the Natural Environment _ Academy of Management Journal",16.3,16.07,25.29,11.62,16.8,16.2,7.01,6077,296
110,"The Antecedents, Consequences, and Mediating Role of Organizational Ambidexterity _ Academy of Management Journal",15.6,15.49,25.39,11.26,16.4,21.75,6.73,10752,526
111,The Effects of Customer Personality Traits on the Display of Positive Emotions _ Academy of Management Journal,14.5,15.26,34.86,10.87,15.6,13.4,6.8,5792,298
112,"The Effects of Job Embeddedness on Organizational Citizenship, Job Performance, Volitional Absences, and Voluntary Turnover _ Academy of Management Journal",17.8,17.0,20.92,12.69,19.6,17.8,6.77,5640,227
113,"The Effects of Physical and Social Context on Evaluations of Captive, Intensive Service Relationships _ Academy of Management Journal",17.6,15.9,28.17,13.64,19.1,15.2,7.12,6548,252
114,"The Genesis of Top Management Team Diversity_ Selective Turnover Among Top Management Teams in Dutch Newspaper Publishing, 1970–94 _ Academy of Management Journal",17.6,15.09,26.95,13.64,18.9,15.6,6.85,10821,398
115,The Impact of Personality on Psychological Contracts _ Academy of Management Journal,17.6,16.37,20.42,13.03,19.1,16.8,6.8,8555,338
116,The Impact of Team Empowerment on Virtual Team Performance_ The Moderating Role of Face-to-Face Interaction _ Academy of Management Journal,14.6,14.96,37.5,9.51,14.5,28.0,6.35,10013,596
117,"The Pace, Sequence, and Linearity of Radical Change _ Academy of Management Journal",16.0,14.57,30.6,12.09,16.8,18.75,6.55,13478,570
118,The Role of Relational Trust in Bank–Small Firm Relationships _ Academy of Management Journal,18.6,16.6,23.09,15.95,21.9,25.333333333333332,7.64,5764,186
119,Tie and Network Correlates of Individual Performance in Knowledge-Intensive Work _ Academy of Management Journal,17.5,16.19,26.14,14.43,20.1,20.5,7.3,4503,161
120,Too Much of a Good Thing_ Negative Effects of High Trust and Individual Autonomy in Self-Managing Teams _ Academy of Management Journal,18.8,14.4,21.57,16.17,20.7,16.2,7.34,4648,143
121,Tournament Rituals in the Evolution of Fields_ the Case of the Grammy Awards _ Academy of Management Journal,16.4,14.34,37.64,13.1,17.3,41.5,7.1,13943,558
122,"Two's Company, Three's a Crowd_ Triads in Cooperative-Competitive Networks _ Academy of Management Journal",17.9,15.39,23.5,15.41,20.6,24.666666666666668,7.28,5419,177
123,Variable Organizational Risk Preferences_ Tests of the March-Shapira Model _ Academy of Management Journal,15.1,15.14,36.39,10.29,15.1,12.333333333333334,6.74,5285,295
124,When the Known Devil is better Than an Unknown God_ An Empirical Study of the Antecedents and Consequences of Relay CEO Successions _ Academy of Management Journal,19.1,15.91,24.21,14.38,20.5,20.25,6.75,8434,282
125,"You Paid for the Skills, Now Keep Them_ Tuition Reimbursement and Voluntary Turnover _ Academy of Management Journal",18.5,15.39,22.48,15.0,21.0,16.6,6.77,8257,261
126,A Longitudinal Examination of the Influence of Mentoring on Organizational Commitment and Turnover _ Academy of Management Journal,18.4,16.89,19.3,13.66,19.9,18.8,6.99,5089,193
127,"A Relational Perspective on Turnover_ Examining Structural, Attitudinal, and Behavioral Predictors _ Academy of Management Journal",18.0,17.87,20.72,13.95,20.0,15.0,7.49,5281,211
128,Adoption of Workplace Substance Abuse Prevention Programs_ Strategic Choice and Institutional Perspectives _ Academy of Management Journal,15.7,14.1,34.8,13.45,18.3,14.2,6.67,9892,356
129,Agglomeration Efects and Strategic Orientations_ Evidence From The U.S. Lodging Industry _ Academy of Management Journal,16.7,15.21,27.96,12.82,18.4,15.8,6.6,9452,361
130,Alternative Conceptualizations of the Relationship Between Voluntary Turnover and Organizational Performance _ Academy of Management Journal,17.6,16.13,28.47,12.99,19.0,21.25,6.71,8442,329
131,An Integrative View of International Experience _ Academy of Management Journal,19.9,17.53,6.68,14.91,22.3,23.25,6.96,7622,250
132,"Being Good or Being Known_ An Empirical Examination of the Dimensions, Antecedents, and Consequences of Organizational Reputation _ Academy of Management Journal",19.1,17.01,14.33,15.33,22.2,19.75,7.18,7549,241
133,"Beyond the Individual Victim_ Linking Sexual Harassment, Team Processes, and Team Performance _ Academy of Management Journal",20.4,16.55,13.62,15.79,22.2,21.5,7.25,6922,216
134,Can Businesses Effectively Regulate Employee Conduct_ The Antecedents of Rule Following in Work Settings _ Academy of Management Journal,19.2,16.72,15.75,15.01,21.3,21.25,7.15,6527,218
135,CEO Tenure And Company Invention Under Differing Levels of Technological Dynamism _ Academy of Management Journal,17.6,16.48,19.3,13.98,19.7,20.5,7.27,6407,243
136,Community Matters_ Realistic Group Conflict Theory and the Impact of Diversity _ Academy of Management Journal,19.2,16.72,14.53,16.01,22.0,16.4,7.51,5790,186
137,Creativity and Standardization_ Complementary or Conflicting Drivers of Team Effectiveness_ _ Academy of Management Journal,17.0,16.08,28.27,13.82,19.0,20.0,7.32,5485,212
138,Diversity and Homophily at Work_ Supportive Relations Among White and African-American Peers _ Academy of Management Journal,21.1,16.96,5.5,18.53,26.2,18.75,7.28,12563,314
139,"Existing Knowledge, Knowledge Creation Capability, and the Rate of New Product Introduction in High-Technology Firms _ Academy of Management Journal",15.2,15.14,32.43,11.65,16.6,24.0,6.72,7608,349
140,Explaining the Clustering of International Expansion Moves_ A Critical Test in the U.S. Telecommunications Industry _ Academy of Management Journal,15.9,16.24,25.19,11.12,17.0,14.6,6.55,13629,661
141,"Extending the Chain of Relationships Among Organizational Justice, Social Exchange, and Employee Reactions_ The Role of Contract Violations _ Academy of Management Journal",19.4,16.26,12.7,16.12,22.5,41.5,7.26,5365,163
142,"Factional Groups_ A New Vantage on Demographic Faultlines, Conflict, and Disintegration in Work Teams _ Academy of Management Journal",17.8,15.68,23.8,15.04,20.8,11.833333333333334,7.11,9942,328
143,How Important are Shared Perceptions of Procedural Justice in Cooperative Alliances_ _ Academy of Management Journal,18.9,18.11,14.43,15.85,23.1,14.4,7.46,6516,209
144,Human Resource Management and Labor Productivity_ Does Industry Matter_ _ Academy of Management Journal,17.9,16.89,19.4,14.28,20.0,20.5,7.42,5101,194
145,Identity Confirmation Networks and Cooperation in Work Groups _ Academy of Management Journal,17.0,16.48,23.16,11.59,17.8,18.0,6.46,12872,570
146,Industry Change Through Vertical Disintegration_ How and Why Markets Emerged in Mortgage Banking _ Academy of Management Journal,18.0,14.75,28.91,15.72,21.5,20.25,6.89,18003,536
147,Input-Based and Time-Based Models of International Adjustment_ Meta-Analytic Evidence and Theoretical Extensions _ Academy of Management Journal,15.5,16.41,28.74,9.79,15.9,21.75,6.55,11781,689
148,Interactions Within Groups and Subgroups_ The Effects of Demographic Faultlines _ Academy of Management Journal,17.6,17.01,24.51,15.18,21.6,19.0,7.26,6403,216
149,Interfirm Competition for Human Resources_ Evidence From the Software Industry _ Academy of Management Journal,15.7,14.62,33.04,11.05,15.9,18.5,6.47,12255,578
150,"Knowledge Sharing in Organizations_ Multiple Networks, Multiple Phases _ Academy of Management Journal",17.9,14.86,23.73,17.53,24.1,13.4,7.03,8949,231
151,Leading from Within_ The Effects of Emotion Recognition and Personality on Transformational Leadership Behavior _ Academy of Management Journal,18.8,18.8,12.97,13.2,20.6,19.4,7.17,5525,227
152,Learning and Performance in Multidisciplinary Teams_ The Importance of Collective Team Identification _ Academy of Management Journal,20.5,16.84,10.37,17.03,24.0,17.4,7.32,8016,228
153,Location-Level Links Between Diversity and Innovative Climate Depend on National Power Distance _ Academy of Management Journal,19.9,17.47,5.46,16.25,22.9,27.666666666666668,7.54,5731,181
154,Managing Potential and Realized Absorptive Capacity_ How do Organizational Antecedents Matter_ _ Academy of Management Journal,18.9,19.85,6.24,12.33,20.4,24.0,6.94,6947,308
155,Modeling the Multilevel Determinants of Top Management Team Behavioral Integration _ Academy of Management Journal,19.4,16.14,20.55,16.91,22.8,24.666666666666668,7.66,7129,213
156,"Motivation and Opportunity_ The Role of Remote Work, Demographic Dissimilarity, and Social Network Centrality in Impression Management _ Academy of Management Journal",20.4,19.27,-0.57,14.55,23.1,19.0,6.95,7913,270
157,Network Effects Revisited_ The Role of Strong Ties in Technology Selection _ Academy of Management Journal,18.2,14.46,19.64,16.67,21.6,23.333333333333332,7.5,6055,176
158,Newcomer Adaptation in Teams_ Multilevel Antecedents and Outcomes _ Academy of Management Journal,20.3,17.65,14.12,15.31,23.0,22.5,6.99,6901,219
159,Organizational Design and Environmental Performance_ Clues From the Electronics Industry _ Academy of Management Journal,17.8,15.73,18.08,14.54,19.5,16.6,7.45,5823,211
160,Organizational Integration of Acquired Biotechnology Companies into Pharmaceutical Companies_ The Need for a Hybrid Approach _ Academy of Management Journal,19.2,15.97,20.65,15.89,22.5,28.0,7.01,11271,337
161,Organizational Roles and Transition to Entrepreneurship _ Academy of Management Journal,18.7,15.97,21.26,16.29,22.0,15.4,7.45,8197,250
162,Ramping up the Organizational Learning Curve_ Assessing the Impact of Deliberate Learning on Organizational Performance Under Gainsharing _ Academy of Management Journal,19.7,16.55,12.09,16.22,22.9,20.75,7.22,6538,195
163,Safety Climate in Health Care Organizations_ A Multidimensional Approach _ Academy of Management Journal,17.3,15.38,26.54,13.75,19.3,14.2,6.86,7547,273
164,Slack Resources and the Performance of Privately Held Firms _ Academy of Management Journal,16.9,16.54,29.69,13.06,18.8,16.4,7.02,7192,293
165,Status Evolution and Competition_ Theory and Evidence _ Academy of Management Journal,18.1,15.79,19.2,13.54,19.3,41.0,6.88,9263,349
166,Team Diversity and Information Use _ Academy of Management Journal,18.8,15.85,15.04,14.99,20.9,23.75,7.02,8800,288
